code,units
100586-7,
100587-5,
100588-3,
100589-1,
100590-9,
100591-7,
100592-5,
100593-3,
10059-4,mV
100594-1,
100595-8,
100596-6,
100597-4,
100598-2,
100599-0,
100600-6,
100601-4,
10060-2,mV
100602-2,
100603-0,
100604-8,
100605-5,
100606-3,
100607-1,
100608-9,
100609-7,
10061-0,mV
100610-5,
100611-3,
100612-1,
100613-9,
100614-7,
100615-4,
100616-2,
100617-0,
100618-8,
100619-6,
100620-4,
100621-2,
100622-0,
100623-8,
100624-6,
100625-3,
100626-1,
100627-9,
10062-8,mV
100628-7,
100629-5,
100630-3,
100631-1,
100632-9,
100633-7,
100634-5,
100635-2,
10063-6,mV
100636-0,
100637-8,
100638-6,
100639-4,
100640-2,
100641-0,
100642-8,
100643-6,
10064-4,mV
100644-4,
100645-1,
100646-9,
100647-7,
100648-5,
100649-3,
100650-1,
10065-1,mV
100651-9,
100652-7,
100653-5,
100654-3,
100655-0,
100656-8,
100657-6,
100658-4,
100659-2,
1006-6,
100660-0,
100661-8,
100662-6,
100663-4,
100664-2,
100665-9,
100666-7,
100667-5,
100668-3,
10066-9,mV
100669-1,
100670-9,
100671-7,
100672-5,
100673-3,
100674-1,{Log_copies}/mL
100675-8,[IU]/mL
100676-6,{Log_IU}/mL
10067-7,mV
100677-4,{Log_copies}/mL
100678-2,{Log_copies}/mL
100679-0,{Log_cells}/mL
100680-8,{Log_copies}/mL
100681-6,{Log_copies}/mL
100682-4,{Log_copies}/mL
100683-2,{Log_copies}/mL
100684-0,{Log_copies}/mL
10068-5,mV
100685-7,{Log_copies}/mL
100686-5,{Log_copies}/mL
100687-3,{Log_copies}/mL
100688-1,{Log_copies}/mL
100689-9,{Log_copies}/mL
100690-7,{Log_copies}/mL
100691-5,{Log_copies}/mL
100692-3,{Log_copies}/mL
10069-3,mV
100693-1,{Log_copies}/mL
100694-9,
100695-6,
100696-4,
100697-2,
100698-0,
100699-8,
100700-4,
10070-1,s
100701-2,
100702-0,
100703-8,
100704-6,
100705-3,
100706-1,
100707-9,10*9/L
100708-7,%
100709-5,{score}
100710-3,
100711-1,[arb'U]/mL
100712-9,ug/mL
100713-7,ug/mL
100714-5,ug/mL
100715-2,ug/mL
100716-0,ng/mL
100717-8,
100718-6,
10071-9,s
100719-4,
100720-2,
100721-0,
100722-8,
100723-6,
100724-4,
100725-1,
100726-9,
10072-7,s
100727-7,
100728-5,
100729-3,
100730-1,
100731-9,
100732-7,
100733-5,mg/dL
100734-3,
10073-5,s
100735-0,
100736-8,
100737-6,
100738-4,
100739-2,
1007-4,
100740-0,
100741-8,
100742-6,
10074-3,s
100743-4,
100744-2,g/L
100745-9,mmol/L
100746-7,mmol/L
100747-5,
100748-3,
100749-1,
10075-0,s
100750-9,
100751-7,
100752-5,
100753-3,
100754-1,
100755-8,{#}
100756-6,
100757-4,
100758-2,a
100759-0,L
100760-8,
100761-6,
100762-4,
100763-2,
100764-0,
100765-7,
100766-5,
100767-3,
10076-8,s
100768-1,
100769-9,
100770-7,
100771-5,
100772-3,
100773-1,
100774-9,
100775-6,
10077-6,s
100776-4,
100777-2,
100778-0,
100779-8,
100780-6,
100781-4,
100782-2,
100783-0,
10078-4,s
100784-8,
100785-5,
100786-3,
100787-1,{score}
100788-9,mg/L
100789-7,mg/L
100790-5,mg/L
100791-3,mg/L
10079-2,s
100792-1,kU/L
100793-9,ng/mL
100794-7,[IU]/L;m[IU]/mL
100795-4,ug/L
100796-2,ng/mL
100797-0,ng/mL
100798-8,ng/mL
100799-6,ng/mL
100-8,
10080-0,s
100800-2,ng/mL
100801-0,ng/mL
100802-8,ng/mL
